symbol,name,n_mps,agg_current_value,stock_return_pct
APARINDS,Apar Industries Limited,1,23512571,66.0
APOLLOTYRE,Apollo Tyres Limited,1,760532,-19.1
HERITGFOOD,Heritage Foods Limited,1,9414065,-10.7
FILATEX,Filatex India Limited,1,158748,-22.2
EXIDEIND,Exide Industries Limited,1,4929706,-32.5
SIEMENS,Siemens Limited,1,19590238,-8.9
IGL,Indraprastha Gas Limited,1,74668,-30.7
EQUITASBNK,Equitas Small Finance Bank Limited,1,85,-29.1
JSWHL,JSW Holdings Limited,1,18675980,91.1
META,"Meta Platforms, Inc.",1,15214812,27.4
JSL,Jindal Stainless Limited,1,257038131,4.0
OSWALAGRO,Oswal Agro Mills Limited,1,6860089,1.6
NSIL,Nalwa Sons Investments Limited,1,35859589,62.6
JINDALSAW,Jindal Saw Limited,1,79300256,-18.7
OSWALGREEN,Oswal Greentech Limited,1,688655,-21.1
HEXATRADEX,Hexa Tradex Limited,1,7634625,12.4
SHALPAINTS,Shalimar Paints Limited,1,2045075,-66.3
REPRO,Repro India Limited,1,257081,-50.5
STARHEALTH,Star Health and Allied Insurance Company Limited,1,5100506,-0.8
SHOPERSTOP,Shoppers Stop Limited,1,214532,-55.5
MAPMYINDIA,C.E. Info Systems Limited,1,404653,-55.1
JUBLFOOD,Jubilant Foodworks Limited,1,2640924,-11.9
TATACOMM,Tata Communications Limited,1,4104653,12.1
ARVINDFASN,Arvind Fashions Limited,1,1685740,-0.4
ZENTEC,Zen Technologies Limited,1,2863958,73.3
GOCOLORS,Go Fashion (India) Limited,1,513082,-69.4
SONACOMS,Sona BLW Precision Forgings Limited,1,999104,-3.3
CONCORDBIO,Concord Biotech Limited,1,1148661,-16.2
INDIGO,InterGlobe Aviation Limited,1,1919103,5.8
UTIAMC,UTI Asset Management Company Limited,1,2237,11.9
SUNTECK,Sunteck Realty Limited,1,138204,-37.1
JYOTHYLAB,Jyothy Labs Limited,1,10040,-50.2
NATCOPHARM,Natco Pharma Limited,1,19588,14.6
POLYCAB,Polycab India Limited,1,19867,39.6
SBILIFE,SBI Life Insurance Company Limited,1,22615,29.2
TRENT,Trent Limited,1,25907,-6.7
TORNTPOWER,Torrent Power Limited,1,31472,7.5
VISAKAIND,Visaka Industries Limited,1,50828917,-27.6
SOMANYCERA,Somany Ceramics Limited,1,462540,-26.3
GANECOS,Ganesha Ecosphere Limited,1,618173,-16.9
CROMPTON,Crompton Greaves Consumer Electricals Limited,1,750366,-23.2
GREENPANEL,Greenpanel Industries Limited,1,448294,-35.3
JTLIND,JTL INDUSTRIES LIMITED,1,442306,-34.3
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,1,618636,-2.2
DCMSHRIRAM,DCM Shriram Limited,1,314179,15.2
APOLLOPIPE,Apollo Pipes Limited,1,411942,-21.5
BESTAGRO,Best Agrolife Limited,1,298427,-40.2
NH,Narayana Hrudayalaya Ltd.,1,778976,57.5
ATUL,Atul Limited,1,449123,21.0
KINGFA,Kingfa Science & Technology (India) Limited,1,1312863,160.5
ORIENTCEM,Orient Cement Limited,1,357737,-36.2
DRREDDY,Dr. Reddy's Laboratories Limited,1,783004,10.9
YUKEN,Yuken India Limited,1,288738,-46.2
UPL,UPL Limited,1,562773,23.6
VERTOZ,Vertoz Limited,1,23981,-87.3
FINEORG,Fine Organic Industries Limited,1,896380,4.7
DIVISLAB,Divi's Laboratories Limited,1,3147024,59.2
ALKYLAMINE,Alkyl Amines Chemicals Limited,1,660437,-10.7
DEEPAKNTR,Deepak Nitrite Limited,1,916117,-23.1
SUPRAJIT,Suprajit Engineering Limited,1,1802809,8.2
ITI,ITI Limited,1,2032221,-3.9
LALPATHLAB,Dr. Lal Path Labs Ltd.,1,1323540,26.8
MOLDTKPAC,Mold-Tek Packaging Limited,1,1304646,-12.8
GARFIBRES,Garware Technical Fibres Limited,1,1486813,-9.5
