candidate_id,mp_name,party,kind,symbol_or_code,security_name,owner,declared_value,current_value,return_pct
4427,AMIT SHAH,BJP,equity,BHARTIARTL,Bharti Airtel Limited,self,832,1156,38.9
4427,AMIT SHAH,BJP,equity,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,self,1325,1073,-19.0
4427,AMIT SHAH,BJP,equity,RELIANCE,Reliance Industries Limited,self,1062,1001,-5.8
4427,AMIT SHAH,BJP,equity,BSL,BSL Limited,spouse,1000,709,-29.1
4427,AMIT SHAH,BJP,equity,SSWL,Steel Strips Wheels Limited,self,700,692,-1.1
4427,AMIT SHAH,BJP,equity,PREMIER,Premier Limited,self,355,300,-15.5
4427,AMIT SHAH,BJP,equity,RHFL,Reliance Home Finance Limited,spouse,322,211,-34.3
4427,AMIT SHAH,BJP,equity,RHFL,Reliance Home Finance Limited,self,274,180,-34.3
4427,AMIT SHAH,BJP,equity,RPOWER,Reliance Power Limited,spouse,156,169,8.4
4427,AMIT SHAH,BJP,equity,RCOM,Reliance Communications Limited,spouse,44,25,-44.2
7176,ANURAG SHARMA,BJP,fund,100299,Kotak Bond Fund - Regular Plan Growth,self,29900418,32780962,9.6
7176,ANURAG SHARMA,BJP,fund,143607,JM Low Duration Fund (Regular) - Growth Option,self,26159432,29652100,13.4
7176,ANURAG SHARMA,BJP,fund,104481,DSP Midcap Fund - Regular Plan - Growth,self,15498580,17311672,11.7
7176,ANURAG SHARMA,BJP,fund,102941,SBI MIDCAP FUND - REGULAR PLAN - GROWTH,self,14720611,15763409,7.1
7176,ANURAG SHARMA,BJP,fund,133805,Kotak Low Duration Fund- Regular Plan-Growth Option,self,11888642,13445013,13.1
7176,ANURAG SHARMA,BJP,fund,133805,Kotak Low Duration Fund- Regular Plan-Growth Option,spouse,11876564,13431354,13.1
7176,ANURAG SHARMA,BJP,fund,143607,JM Low Duration Fund (Regular) - Growth Option,spouse,9809787,11119538,13.4
7176,ANURAG SHARMA,BJP,fund,147477,Kotak Focused Fund- Regular plan _ Growth Option,spouse,8563600,9569867,11.8
7176,ANURAG SHARMA,BJP,fund,103024,SBI LARGE & MIDCAP FUND- REGULAR PLAN -Growth,self,8391072,9535050,13.6
7176,ANURAG SHARMA,BJP,fund,114564,Axis Midcap Fund - Regular Plan - Growth,self,7091086,8025196,13.2
7176,ANURAG SHARMA,BJP,fund,106231,SBI SHORT TERM DEBT FUND - REGULAR PLAN -GROWTH,self,6636586,7517467,13.3
7176,ANURAG SHARMA,BJP,fund,151048,HSBC Money Market Fund - Regular Growth,spouse,5153340,5863232,13.8
7176,ANURAG SHARMA,BJP,fund,103024,SBI LARGE & MIDCAP FUND- REGULAR PLAN -Growth,spouse,4164502,4732260,13.6
7176,ANURAG SHARMA,BJP,fund,130502,HDFC Small Cap Fund - Growth Option,spouse,4422333,4717268,6.7
7176,ANURAG SHARMA,BJP,fund,101993,HDFC Money Market Fund - Growth Option,spouse,4137640,4717199,14.0
7176,ANURAG SHARMA,BJP,fund,101893,Kotak Money Market Fund - (Growth),spouse,2067475,2357861,14.0
7176,ANURAG SHARMA,BJP,fund,147477,Kotak Focused Fund- Regular plan _ Growth Option,spouse,1759508,1966259,11.8
7176,ANURAG SHARMA,BJP,fund,117560,Axis Focused Fund - Regular Plan - Growth Option,huf,1630627,1663051,2.0
7176,ANURAG SHARMA,BJP,equity,CANBK,Canara Bank,self,1162100,1368828,17.8
7176,ANURAG SHARMA,BJP,fund,151034,HSBC Midcap Fund - Regular Growth,huf,619941,763761,23.2
7176,ANURAG SHARMA,BJP,equity,CANBK,Canara Bank,spouse,581050,684414,17.8
7176,ANURAG SHARMA,BJP,equity,NTPC,NTPC Limited,self,85965,96000,11.7
7176,ANURAG SHARMA,BJP,equity,NHPC,NHPC Limited,self,63956,52675,-17.6
7176,ANURAG SHARMA,BJP,equity,NHPC,NHPC Limited,spouse,63956,52675,-17.6
7176,ANURAG SHARMA,BJP,equity,IOB,Indian Overseas Bank,self,47960,22723,-52.6
7176,ANURAG SHARMA,BJP,equity,RPOWER,Reliance Power Limited,self,1469,1592,8.4
7176,ANURAG SHARMA,BJP,equity,NTPC,NTPC Limited,self,1074,1199,11.7
7176,ANURAG SHARMA,BJP,equity,RPOWER,Reliance Power Limited,spouse,706,765,8.4
3847,CHHATRAPATI SHAHU SHAHAJI,INC,equity,BHARATFORG,Bharat Forge Limited,self,28093750,34658446,23.4
3847,CHHATRAPATI SHAHU SHAHAJI,INC,equity,LT,Larsen & Toubro Limited,self,26418700,29299595,10.9
3847,CHHATRAPATI SHAHU SHAHAJI,INC,equity,INDHOTEL,The Indian Hotels Company Limited,self,23654000,27236651,15.1
