amfi_code,scheme_name,n_mps,agg_current_value,fund_return_pct
105804,Aditya Birla Sun Life Small Cap Fund - GROWTH,1,1721089,12.6
111957,ICICI Prudential Focused Equity Fund - Growth,1,6246618,13.6
111987,ICICI Prudential Corporate Bond Fund - Growth,1,17766582,13.8
148382,Motilal Oswal S&P 500 Index Fund - Regular Plan Growth,1,16160,61.6
149089,Nippon India Flexi Cap Fund - Regular Plan - Growth Plan - Growth Option,1,10135,1.3
131357,BANDHAN Balanced Advantage Fund Regular Plan Growth,1,5357848,9.4
102147,HDFC Hybrid Debt Fund - Growth Plan,1,8457594,7.0
133801,Kotak Infrastructure & Economic Reform Fund- Direct Plan- Growth Option,1,296785,0.9
101862,Nippon India Banking & Financial Services Fund-Growth Plan-Growth Option,1,1112632,14.9
103168,Aditya Birla Sun Life Digital India Fund - Growth - Regular Plan,1,117993,-2.9
103215,SBI Flexicap Fund - REGULAR PLAN -Growth Option,1,1134604,2.6
107745,Aditya Birla Sun Life ELSS Tax Saver Fund - Growth Option,1,729958,7.3
115676,SBI GOLD FUND REGULAR PLAN - GROWTH,1,709400,114.3
105989,DSP Small Cap Fund - Regular - Growth,1,1178183,21.6
147846,Aditya Birla Sun Life PSU Equity Fund-Regular Plan-Growth,1,270619,-2.8
125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,1,207105,11.8
100175,quant ELSS Tax Saver Fund - Growth Option - Regular Plan,1,143613,-2.8
105817,Franklin India Focused Equity Fund - Growth Plan,1,1387941,-1.0
148557,Edelweiss MSCI India Domestic & World Healthcare 45 index Fund Regular Plan - Growth,1,649847,29.7
150480,Franklin India Balanced Advantage Fund- Growth,1,802508,6.0
149132,SBI Balanced Advantage Fund - Regular Plan - Growth,1,830859,10.0
100526,Franklin India ELSS Tax Saver Fund-Growth,1,927395,0.9
149266,NJ Balanced Advantage Fund - Regular Plan - Growth Option,1,1359616,1.4
